Year,Month,Day,Site,Quad,Sex,Size,Eggs
2021,9,28,Marshfield,3,M,12.3,0
2021,5,26,Bristol,2,M,33.7,0
2021,5,18,Sandwich,3,M,31.4,0
2021,11,10,Scituate,2,M,31.3,0
2021,9,28,Marshfield,2,M,30.2,0
2021,11,10,Scituate,2,F,30.1,0
2021,4,26,Bristol,1,M,30.0,0
2021,5,26,Bristol,1,M,30.0,0
2021,9,23,Scituate,3,M,29.8,0
2021,5,12,Marshfield,3,M,29.7,0
2021,7,23,Sandwich,1,M,29.5,0
2021,5,26,Bristol,2,M,29.1,0
2021,10,7,Bristol,1,F,29.0,0
2021,6,24,Bristol,3,M,28.9,0
2021,5,12,Bristol,2,F,28.8,0
2021,5,12,Bristol,1,M,28.5,0
2021,7,7,Scituate,1,M,28.3,0
2021,9,7,Scituate,2,M,28.3,0
2021,4,26,Bristol,1,M,28.3,0
2021,5,28,Scituate,3,M,28.3,0
2021,10,7,Bristol,1,F,28.0,0
2021,8,9,Sandwich,2,M,28.0,0
2021,5,12,Marshfield,3,M,28.0,0
2021,5,26,Bristol,1,M,27.9,0
2021,9,28,Marshfield,3,M,27.8,0
2021,10,7,Bristol,3,F,27.7,0
2021,6,16,Sandwich,3,M,27.7,0
2021,5,26,Bristol,2,M,27.6,0
2021,5,26,Bristol,2,M,27.6,0
2021,6,25,Marshfield,3,M,27.5,0
2021,11,10,Scituate,3,M,27.4,0
2021,5,26,Bristol,2,M,27.4,0
2021,5,12,Scituate,1,M,27.3,0
2021,5,26,Bristol,2,M,27.3,0
2021,11,10,Scituate,1,M,27.2,0
2021,10,7,Bristol,2,F,27.1,0
2021,5,12,Bristol,3,M,27.0,0
2021,5,21,SMAST,3,M,27.0,0
2021,6,24,Bristol,1,M,27.0,0
2021,7,7,Scituate,1,F,26.9,0
2021,5,21,SMAST,3,M,26.9,0
2021,5,12,Bristol,3,M,26.8,0
2021,11,10,Scituate,3,M,26.7,0
2021,11,10,Scituate,3,M,26.7,0
2021,7,13,Bristol,2,M,26.7,0
2021,5,21,SMAST,3,M,26.7,0
2021,7,19,Scituate,1,M,26.6,0
2021,9,23,Scituate,3,M,26.6,0
2021,4,26,Bristol,2,M,26.6,0
2021,10,7,Bristol,1,F,26.5,0
2021,11,10,Scituate,3,M,26.5,0
2021,5,26,Bristol,1,M,26.4,0
2021,5,26,Bristol,2,F,26.4,1
2021,8,9,Sandwich,2,M,26.3,0
2021,5,12,Bristol,3,M,26.3,0
2021,5,21,SMAST,3,M,26.3,0
2021,5,28,Scituate,3,M,26.3,0
2021,5,12,Marshfield,2,M,26.1,0
2021,5,12,Scituate,3,M,26.1,0
2021,5,12,Marshfield,3,M,26.1,0
2021,5,12,Bristol,3,M,26.1,0
2021,5,26,Bristol,3,M,26.1,0
2021,5,12,Bristol,3,M,26.0,0
2021,4,26,Bristol,2,F,26.0,1
2021,5,26,Bristol,2,F,26.0,1
2021,11,10,Scituate,3,F,25.9,0
2021,5,26,Bristol,1,M,25.9,0
2021,10,7,Bristol,3,M,25.8,0
2021,11,10,Scituate,3,M,25.8,0
2021,11,10,Scituate,3,M,25.8,0
2021,5,12,Marshfield,2,M,25.8,0
2021,5,28,Scituate,2,M,25.8,0
2021,5,21,SMAST,3,F,25.7,0
2021,4,29,Scituate,1,M,25.7,0
2021,11,10,Scituate,2,F,25.6,0
2021,6,24,Bristol,3,M,25.6,0
2021,10,7,Bristol,2,F,25.5,0
2021,10,7,Bristol,3,F,25.5,0
2021,5,12,Marshfield,2,M,25.5,0
2021,5,12,Scituate,3,M,25.5,0
2021,7,23,Sandwich,1,M,25.5,0
2021,10,7,Bristol,1,F,25.4,0
2021,7,7,Marshfield,3,M,25.4,0
2021,6,8,Bristol,2,M,25.4,0
2021,11,10,Scituate,1,M,25.3,0
2021,6,24,Bristol,1,M,25.3,0
2021,5,28,Scituate,3,M,25.3,0
2021,5,18,Sandwich,1,M,25.2,0
2021,10,7,Bristol,1,F,25.1,0
2021,11,10,Scituate,2,F,25.1,0
2021,5,12,Bristol,3,M,25.1,0
2021,6,25,Marshfield,2,M,25.1,0
2021,10,7,Bristol,1,F,25.0,0
2021,10,7,Bristol,1,M,25.0,0
2021,10,7,Bristol,2,F,25.0,0
2021,11,10,Scituate,3,M,25.0,0
